D00066	D00088	D00094	D00105	D00129	D00163	D00182	D00211	D00246	D00279	D00316	D00443	D00506	D00554	D00565	D00586	D00627	D00690	D00950	D00951	D00961	D00962	D01115	D01217	D01387	D01441	D02217
D00316	4.26878819198581e-11	0.0390419790171692	0.150422978748843	0.000276648711616759	0.0110946654289121	6.17390445822579e-52	3.61906844878417e-20	1.17009553300987e-06	0.000678718421289541	4.98217719210349e-12	1	0.00139713803844792	1.16977977768029e-05	1.03467746867092e-13	0.0138978393503924	0.00560697152198643	0.0131058205805389	0.00294903756171722	0.00127683344728664	8.15584470931677e-05	0.00314967379028857	2.20603024672894e-20	0.00241876540032855	0.000746314737224118	0.0249896299654584	0.0319460622329442	0.00230484297078773
D00443	0.00132218124945849	0.00280056152303438	4.25591823680729e-10	0.0386334100636546	0.00642882853982802	0.000521541121614387	8.44969933363446e-05	0.00512844165155873	3.19368071421535e-16	0.000334046769884723	0.00139713803844792	1	0.00212698293365534	0.00173970851967370	0.000328686213014376	4.82827940469755e-37	0.0388176279054039	8.57229589957116e-14	3.72267986077572e-05	5.25367329017855e-05	0.036047200008306	5.28909175571663e-05	0.254334852563707	7.26683805677892e-05	1.25527311373284e-13	7.78587191533065e-07	0.00112216792726574
D00506	0.00372927474367276	0.00109205947096123	3.82428948357257e-07	0.00924389776975773	0.0105234335159991	6.60954191867168e-42	0.00360605507663913	0.0607839081526159	0.00368632120245619	3.43183713992139e-05	1.16977977768029e-05	0.00212698293365534	1	4.64499360222513e-06	1.60286708709281e-12	8.32248565040733e-36	3.75358256945169e-07	1.38676031553457e-10	0.00155137431929556	0.00224489632502121	0.00915226953115237	6.78047967185434e-08	7.57045079041644e-05	0.00333725285148446	1.28367805966065e-07	0.0126478436758433	0.0259727436030061
D00554	0.00400068854086017	7.13983431687945e-15	1.31372012867772e-11	0.0202386708562726	2.70634339307126e-07	1.47629450832980e-19	0.00446878315515327	1.39671562491822e-12	6.52693375301777e-09	6.62301894979514e-60	1.03467746867092e-13	0.00173970851967370	4.64499360222513e-06	1	2.98023907895443e-09	0.00243121490148273	2.50006334338973e-34	2.82405438327364e-197	0.00282107742946166	0.00955781152916204	0.00285267538652049	0.000347090133014690	0.00108192676428216	0.0252763634971176	6.94006680384082e-86	1.62886301852548e-09	0.00128779390769724
D00565	2.03712835918648e-51	2.99402876414805e-05	0.0117498763079968	0.0553198764102544	0.00411623374750368	0.0462452014016011	5.77351752080151e-40	0.0050458942491126	3.50152148980164e-05	0.150326682984769	0.0138978393503924	0.000328686213014376	1.60286708709281e-12	2.98023907895443e-09	1	2.64975609496113e-25	0.00690974938271651	1.40519341547865e-26	0.0192353379640644	1.23325196904812e-06	2.63490495801222e-06	1.17001836200796e-06	1.64663837803056e-07	6.48921981266388e-61	2.03251551256389e-26	0.0144240505684254	0.0616605162180946
D00586	5.85414050535143e-139	2.56344523244562e-43	0.00391746097330163	1.31814887301753e-15	5.49484397825083e-40	2.36988452692652e-85	1.23015380828280e-39	1.12590846641022e-10	2.99538463050509e-43	5.90649577080745e-60	0.00560697152198642	4.82827940469755e-37	8.32248565040733e-36	0.00243121490148273	2.64975609496113e-25	1	3.69001729115359e-14	6.63976420009153e-133	2.47390284535534e-43	0.00323024346317785	0.235881434203550	5.38991902114878e-34	0.0641093266052744	0.00145701517711318	1.92400686564755e-89	4.76236348387389e-05	2.10613727697433e-15
D00627	1.28151301046884e-15	1.07644140101623e-05	0.0114342492610485	0.00465351242011343	0.00509808290754592	3.92940368910834e-66	0.000336732683501219	0.000918583398007895	5.41409800748017e-09	3.50796088429249e-16	0.0131058205805389	0.0388176279054039	3.75358256945169e-07	2.50006334338973e-34	0.00690974938271651	3.69001729115359e-14	1	6.8486245080907e-23	5.97610090778987e-08	0.000209306960342422	8.95700015549285e-16	8.89891583817973e-11	0.0347080409367213	1.14370216484476e-15	0.0168729632991565	0.00102532654732188	0.0301756057012863
D00690	5.99780157113572e-11	0.0204623543334498	1.36406943020323e-11	1.34099864905395e-07	2.38814668278671e-05	1.14684007962233e-114	3.88118199916174e-43	0.000921118934586836	0.0394199671483195	2.48692765953226e-120	0.00294903756171722	8.57229589957116e-14	1.38676031553457e-10	2.82405438327364e-197	1.40519341547865e-26	6.63976420009153e-133	6.8486245080907e-23	1	1.97503725087068e-05	3.37948678956383e-11	7.95003594131341e-12	6.82059098137214e-33	1.04965586649727e-11	3.05952330678232e-50	0.0812916803932846	0.000250251773967796	3.48781170559812e-18
D00950	0.00929472394360713	0.000330747199862051	0.000892093919342023	0.0332040362866684	1.63827056594532e-08	1.55030766220163e-11	0.0506066577642753	0.00498320685170250	0.00395547826788603	2.84973084013728e-05	0.00127683344728664	3.72267986077572e-05	0.00155137431929556	0.00282107742946166	0.0192353379640644	2.47390284535534e-43	5.97610090778987e-08	1.97503725087068e-05	1	0.0315687976820291	0.0182304860904471	0.0185750689063618	0.00584613081181491	0.011971570837599	1.08541815335389e-06	0.014068798571442	0.00130304529420050
D00951	0.104905470247940	0.0081096795211311	1.00379833052705e-06	0.0903545967918611	0.00468679984337362	2.71626655678196e-05	0.170356731853974	0.00239599557518798	0.000253355698581894	7.20078268986913e-05	8.15584470931677e-05	5.25367329017855e-05	0.00224489632502121	0.00955781152916205	1.23325196904812e-06	0.00323024346317785	0.000209306960342422	3.37948678956383e-11	0.0315687976820291	1	0.000550456559067308	0.0561765736023616	0.000833988206825337	0.105670000109518	1.01447981591119e-13	0.0222035138716182	0.0217656234762607
D00961	0.00833787774861245	0.00077071438393	0.00220060403323941	0.0338664367926555	0.000188492548889068	5.67859306789667e-08	0.000143442483146472	0.00205626474573069	3.01355853123143e-08	0.000262518737155991	0.00314967379028857	0.036047200008306	0.00915226953115237	0.00285267538652049	2.63490495801222e-06	0.235881434203550	8.95700015549285e-16	7.95003594131341e-12	0.0182304860904471	0.000550456559067308	1	6.67766008886554e-09	0.0508974380448983	0.00825969961890276	1.18260862126160e-13	0.0161592122117176	5.17244398608923e-09
D00962	0.0216834658504090	0.00110310711477645	4.58738691228576e-06	0.0321133276871948	2.68433071690101e-05	1.23371128520496e-07	0.045607900036717	2.44653840948639e-05	0.000113095159030545	1.85307332989562e-26	2.20603024672894e-20	5.28909175571663e-05	6.78047967185434e-08	0.000347090133014690	1.17001836200796e-06	5.38991902114878e-34	8.89891583817973e-11	6.82059098137214e-33	0.0185750689063618	0.0561765736023616	6.67766008886554e-09	1	5.7192646633863e-09	0.196180811367335	1.31345712653149e-45	0.00453163796730472	0.044394100736623
D01115	0.000634132915820278	0.0072333431642587	0.00136860997661579	0.000312679396602878	0.0114840685023363	5.47996435994674e-32	3.62598221920906e-06	0.0192373292496897	0.0140247870941461	0.00235107972849418	0.00241876540032855	0.254334852563707	7.57045079041644e-05	0.00108192676428216	1.64663837803056e-07	0.0641093266052744	0.0347080409367213	1.04965586649727e-11	0.00584613081181492	0.000833988206825336	0.0508974380448983	5.7192646633863e-09	1	0.00138750780276279	2.51587934227344e-05	0.00635718552432339	0.00498890202913482
D01217	0.262957897147766	1.03536749222266e-21	2.12212043129068e-20	0.0287317519643518	6.81306731768981e-16	1.05139425001471e-60	0.247216765943754	0.00356634428784233	0.000588386684193188	1.1178750504938e-60	0.000746314737224118	7.26683805677892e-05	0.00333725285148446	0.0252763634971176	6.48921981266388e-61	0.00145701517711318	1.14370216484476e-15	3.05952330678232e-50	0.011971570837599	0.105670000109518	0.00825969961890276	0.196180811367335	0.00138750780276279	1	4.48017356474474e-50	0.000233326253291024	8.04789327299028e-06
D01387	4.25688044310255e-05	0.0208698576811498	5.06159585234762e-06	0.0159476038198574	3.37015602072829e-06	1.67936050571138e-114	5.68335875233498e-43	2.25772583274307e-06	6.9026564084183e-06	1.55736883285045e-89	0.0249896299654584	1.25527311373284e-13	1.28367805966065e-07	6.94006680384082e-86	2.03251551256389e-26	1.92400686564755e-89	0.0168729632991565	0.0812916803932846	1.08541815335389e-06	1.01447981591119e-13	1.18260862126160e-13	1.31345712653149e-45	2.51587934227344e-05	4.48017356474474e-50	1	0.011525956142153	0.0086698929388644
D01441	0.000312475629725775	0.00178607665154816	0.0675844548681612	0.049542450383043	0.0148802649580562	6.06198697538996e-08	0.000852705191592665	0.0154363316508062	0.000100537775402284	0.00377470997997475	0.0319460622329442	7.78587191533065e-07	0.0126478436758433	1.62886301852548e-09	0.0144240505684254	4.76236348387389e-05	0.00102532654732188	0.000250251773967796	0.014068798571442	0.0222035138716182	0.0161592122117176	0.00453163796730472	0.00635718552432339	0.000233326253291024	0.011525956142153	1	0.0128921628092271
D02217	0.002537879740822	1.85488644975152e-08	0.00161389291041156	0.0607818894703341	0.069162731023174	0.0398490029861928	1.48965332294112e-05	0.0115648403103334	0.0025493075996402	6.04100816316463e-05	0.00230484297078773	0.00112216792726574	0.0259727436030060	0.00128779390769724	0.0616605162180946	2.10613727697433e-15	0.0301756057012863	3.48781170559812e-18	0.00130304529420050	0.0217656234762607	5.17244398608923e-09	0.044394100736623	0.00498890202913482	8.04789327299028e-06	0.0086698929388644	0.0128921628092271	1
