D00066	D00088	D00094	D00105	D00129	D00163	D00182	D00211	D00246	D00279	D00316	D00443	D00506	D00554	D00565	D00586	D00627	D00690	D00950	D00951	D00961	D00962	D01115	D01217	D01387	D01441	D02217
D00316	0.065217	0.061224	0.371429	0.121951	0.142857	0.08	0.021277	0.197183	0.075472	0.354839	1	0.057692	0.102564	0.116279	0.275	0.153846	0.160714	0.12963	0.042553	0.148936	0.122449	0.133333	0.098039	0.065217	0.107143	0.133333	0.12963
D00443	0.677419	0.527778	0.159091	0.25641	0.282609	0.425	0.5	0.189189	0.395349	0.071429	0.057692	1	0.095238	0.275	0.08	0.090909	0.046154	0.333333	0.485714	0.540541	0.054545	0.028986	0.685714	0.625	0.354167	0.126984	0.103448
D00506	0.111111	0.102564	0.054054	0.15625	0.044444	0.046512	0.114286	0.101449	0.090909	0.269231	0.102564	0.095238	1	0.147059	0.166667	0.16129	0.142857	0.155556	0.142857	0.097561	0.15	0.156863	0.093023	0.111111	0.081633	0.113208	0.130435
D00554	0.323529	0.371429	0.1	0.826087	0.268293	0.315789	0.517241	0.157143	0.261905	0.1875	0.116279	0.275	0.147059	1	0.146341	0.205882	0.109091	0.295455	0.451613	0.282051	0.186047	0.122807	0.238095	0.285714	0.208333	0.207547	0.266667
D00565	0.090909	0.085106	0.093023	0.153846	0.1	0.081633	0.021739	0.150685	0.098039	0.518519	0.275	0.08	0.166667	0.146341	1	0.294118	0.254902	0.22449	0.021277	0.177778	0.384615	0.288462	0.1	0.090909	0.150943	0.288462	0.304348
D00586	0.105263	0.097561	0.051282	0.21875	0.065217	0.044444	0.025	0.068493	0.086957	0.25	0.153846	0.090909	0.16129	0.205882	0.294118	1	0.137255	0.2	0.02439	0.093023	0.411765	0.150943	0.042553	0.105263	0.1	0.22	0.2
D00627	0.050847	0.048387	0.109091	0.113208	0.078125	0.116667	0.016667	0.101124	0.09375	0.222222	0.160714	0.046154	0.142857	0.109091	0.254902	0.137255	1	0.121212	0.033333	0.046875	0.236364	0.296083	0.045455	0.050847	0.056338	0.372881	0.2762415
D00690	0.380952	0.487805	0.14	0.27907	0.226415	0.26	0.295455	0.220779	0.571429	0.214286	0.12963	0.333333	0.155556	0.295455	0.22449	0.2	0.121212	1	0.288889	0.465116	0.163636	0.132353	0.413043	0.318182	0.613636	0.184615	0.166667
D00950	0.586207	0.580645	0.125	0.34375	0.292683	0.342105	0.875	0.171429	0.35	0.054054	0.042553	0.485714	0.142857	0.451613	0.021277	0.02439	0.033333	0.288889	1	0.5	0.061224	0.048387	0.394737	0.483871	0.340909	0.083333	0.115385
D00951	0.7	0.588235	0.190476	0.263158	0.318182	0.365854	0.515152	0.2518635	0.439024	0.157895	0.148936	0.540541	0.097561	0.282051	0.177778	0.093023	0.046875	0.465116	0.5	1	0.055556	0.029412	0.487179	0.645161	0.454545	0.147541	0.105263
D00961	0.061224	0.078431	0.02	0.195122	0.072727	0.055556	0.0625	0.08642	0.090909	0.25	0.122449	0.054545	0.15	0.186047	0.384615	0.411765	0.236364	0.163636	0.061224	0.055556	1	0.245614	0.017241	0.061224	0.083333	0.327219	0.333333
D00962	0.031746	0.0625	0.103448	0.127273	0.090909	0.111111	0.032258	0.074468	0.089552	0.208333	0.133333	0.028986	0.156863	0.122807	0.288462	0.150943	0.296083	0.132353	0.048387	0.029412	0.245614	1	0.028571	0.031746	0.068493	0.2263425	0.3163355
D01115	0.472222	0.473684	0.155556	0.219512	0.276596	0.348837	0.405405	0.202703	0.355556	0.121951	0.098039	0.685714	0.093023	0.238095	0.1	0.042553	0.045455	0.413043	0.394737	0.487179	0.017241	0.028571	1	0.432432	0.434783	0.107692	0.065574
D01217	0.84	0.580645	0.184211	0.34375	0.325	0.416667	0.5	0.205882	0.421053	0.083333	0.065217	0.625	0.111111	0.285714	0.090909	0.105263	0.050847	0.318182	0.483871	0.645161	0.061224	0.031746	0.432432	1	0.372093	0.140351	0.115385
D01387	0.404762	0.47619	0.137255	0.217391	0.294118	0.306122	0.318182	0.266667	0.634146	0.155556	0.107143	0.354167	0.081633	0.208333	0.150943	0.1	0.056338	0.613636	0.340909	0.454545	0.083333	0.068493	0.434783	0.372093	1	0.130435	0.126984
D01441	0.140351	0.133333	0.084746	0.215686	0.125	0.129032	0.084746	0.16092	0.140625	0.183673	0.133333	0.126984	0.113208	0.207547	0.288462	0.22	0.372881	0.184615	0.083333	0.147541	0.327219	0.2263425	0.107692	0.140351	0.130435	1	0.45283
D02217	0.115385	0.150943	0.055556	0.27907	0.140351	0.145455	0.096154	0.189873	0.157895	0.186047	0.12963	0.103448	0.130435	0.266667	0.304348	0.2	0.2762415	0.166667	0.115385	0.105263	0.333333	0.3163355	0.065574	0.115385	0.126984	0.45283	1
